Systematic Name,TPM Glucose,TPM YEP,TPM Galactose,TPM Glucose_2,TPM YEP_2,TPM Galactose_2
YNL338W,0,0.475495,0.0866474,0,0.170655,0.0931648
YNL339C,2.89971,2.59541,4.47872,3.3481,4.02646,4.53916
YNL339W-A,2.7693,3.2596,2.48199,3.6708,4.31259,5.80343
YNL339W-B,0,0,0,0,0,0
YNR001C,15.5849,297.567,194.519,27.4983,379.943,220.021
YNR001W-A,0.323446,1.03068,1.23588,0.770335,0,0.695423
YNR002C,2.04688,102.502,12.4695,3.67921,91.3702,13.3964
YNR003C,41.518,14.6715,19.1787,35.0809,13.1334,19.9205
YNR003W-A,0,0,0,0,0,0
YNR004W,13.7773,8.96925,8.80524,14.3874,8.02895,9.09535
YNR005C,2.8672,1.87564,1.64963,4.93853,4.91901,6.14469
YNR006W,11.3525,15.1276,10.4562,16.1563,15.3402,16.2635
YNR007C,8.87118,17.2454,10.4684,10.1758,21.9179,15.0644
YNR008W,8.21235,5.96389,6.34696,10.328,6.02897,7.23517
YNR009W,16.6538,14.5269,15.7281,13.7788,12.4482,11.0748
YNR010W,16.2797,21.0851,12.9212,20.4286,19.2015,12.728
YNR011C,8.26819,7.38792,6.49861,7.79131,8.25095,8.34583
YNR012W,31.94,15.0679,17.7388,29.0951,13.1823,16.6929
YNR013C,22.4425,15.9315,15.5381,25.559,15.516,19.5325
YNR014W,7.22832,3.97931,4.24497,8.5295,2.72776,10.4616
YNR015W,31.6686,17.8425,23.3162,30.8555,16.5316,24.0643
YNR016C,56.2994,168.186,70.4304,57.8099,170.796,128.421
YNR017W,109.787,182.897,137.443,93.2996,163.09,134.183
YNR018W,103.138,91.7468,99.0032,89.6239,86.8309,103.622
YNR019W,31.1248,20.5476,18.3616,49.6066,20.2956,26.6619
YNR020C,11.1829,24.0079,24.9385,9.3801,26.7299,21.338
YNR021W,60.3183,47.9364,45.8643,60.2586,52.6787,55.1058
YNR022C,60.7703,107.669,112.032,53.5718,135.216,91.0302
YNR023W,8.24554,9.43184,8.81301,7.89568,10.1016,9.96681
YNR024W,35.0367,24.1676,25.7876,29.6906,20.7571,23.7723
YNR025C,25.1976,17.6453,16.4505,17.748,12.141,15.6568
YNR026C,18.9727,14.6711,14.367,19.8282,15.2155,17.5702
YNR027W,21.3516,12.8948,15.8405,23.3519,12.0667,18.9275
